ROI_Image_Label,Yeo_7_Network,Yeo_17_Network,Yeo_7_Network_Sensorimotor,Yeo_7_Network_Cognitive,Yeo_7_Network_PriCognitive,Yeo_17_Network_Sensorimotor,Yeo_17_Network_Cognitive,Yeo_17_Network_PriCognitive
548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
549,7,16,NaN,7,7,NaN,16,16
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
552,1,2,1,NaN,NaN,2,NaN,NaN
553,6,13,NaN,6,6,NaN,13,13
554,5,9,NaN,5,NaN,NaN,9,NaN
555,4,8,NaN,4,NaN,NaN,8,NaN
556,5,9,NaN,5,NaN,NaN,9,NaN
557,7,17,NaN,7,7,NaN,17,17
558,6,8,NaN,6,6,NaN,8,NaN
559,6,12,NaN,6,6,NaN,12,12
560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
561,1,1,1,NaN,NaN,1,NaN,NaN
562,1,5,1,NaN,NaN,NaN,5,5
563,7,13,NaN,7,7,NaN,13,13
564,2,3,2,NaN,NaN,3,NaN,NaN
565,1,5,1,NaN,NaN,NaN,5,5
566,7,17,NaN,7,7,NaN,17,17
567,2,3,2,NaN,NaN,3,NaN,NaN
568,2,4,2,NaN,NaN,4,NaN,NaN
569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
570,3,12,NaN,3,3,NaN,12,12
571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
573,7,17,NaN,7,7,NaN,17,17
574,7,16,NaN,7,7,NaN,16,16
575,6,13,NaN,6,6,NaN,13,13
576,1,1,1,NaN,NaN,1,NaN,NaN
577,2,3,2,NaN,NaN,3,NaN,NaN
578,6,12,NaN,6,6,NaN,12,12
579,7,16,NaN,7,7,NaN,16,16
580,1,2,1,NaN,NaN,2,NaN,NaN
582,1,1,1,NaN,NaN,1,NaN,NaN
583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
584,7,17,NaN,7,7,NaN,17,17
585,6,12,NaN,6,6,NaN,12,12
586,1,15,1,NaN,NaN,NaN,15,15
587,7,15,NaN,7,7,NaN,15,15
588,3,11,NaN,3,3,NaN,11,11
589,7,17,NaN,7,7,NaN,17,17
590,2,3,2,NaN,NaN,3,NaN,NaN
591,7,15,NaN,7,7,NaN,15,15
592,1,1,1,NaN,NaN,1,NaN,NaN
593,5,9,NaN,5,NaN,NaN,9,NaN
594,7,17,NaN,7,7,NaN,17,17
596,6,8,NaN,6,6,NaN,8,NaN
597,2,3,2,NaN,NaN,3,NaN,NaN
598,7,17,NaN,7,7,NaN,17,17
599,2,4,2,NaN,NaN,4,NaN,NaN
600,1,5,1,NaN,NaN,NaN,5,5
601,1,15,1,NaN,NaN,NaN,15,15
602,4,8,NaN,4,NaN,NaN,8,NaN
603,4,7,NaN,4,NaN,NaN,7,NaN
604,2,4,2,NaN,NaN,4,NaN,NaN
605,3,11,NaN,3,3,NaN,11,11
606,5,10,NaN,5,NaN,NaN,10,NaN
607,3,12,NaN,3,3,NaN,12,12
608,4,8,NaN,4,NaN,NaN,8,NaN
609,3,5,NaN,3,3,NaN,5,5
610,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
611,6,13,NaN,6,6,NaN,13,13
613,7,16,NaN,7,7,NaN,16,16
614,7,16,NaN,7,7,NaN,16,16
615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
616,2,14,2,NaN,NaN,14,NaN,NaN
617,6,12,NaN,6,6,NaN,12,12
618,3,5,NaN,3,3,NaN,5,5
619,7,16,NaN,7,7,NaN,16,16
620,1,1,1,NaN,NaN,1,NaN,NaN
621,2,3,2,NaN,NaN,3,NaN,NaN
622,4,7,NaN,4,NaN,NaN,7,NaN
623,7,15,NaN,7,7,NaN,15,15
625,4,7,NaN,4,NaN,NaN,7,NaN
626,4,8,NaN,4,NaN,NaN,8,NaN
627,7,13,NaN,7,7,NaN,13,13
628,6,12,NaN,6,6,NaN,12,12
629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
631,1,1,1,NaN,NaN,1,NaN,NaN
634,7,16,NaN,7,7,NaN,16,16
635,5,10,NaN,5,NaN,NaN,10,NaN
636,4,12,NaN,4,NaN,NaN,12,12
637,6,13,NaN,6,6,NaN,13,13
638,1,1,1,NaN,NaN,1,NaN,NaN
639,3,12,NaN,3,3,NaN,12,12
640,2,4,2,NaN,NaN,4,NaN,NaN
641,2,4,2,NaN,NaN,4,NaN,NaN
642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
643,1,1,1,NaN,NaN,1,NaN,NaN
644,2,4,2,NaN,NaN,4,NaN,NaN
645,1,2,1,NaN,NaN,2,NaN,NaN
646,6,13,NaN,6,6,NaN,13,13
647,2,3,2,NaN,NaN,3,NaN,NaN
649,6,13,NaN,6,6,NaN,13,13
650,1,2,1,NaN,NaN,2,NaN,NaN
651,7,13,NaN,7,7,NaN,13,13
652,6,12,NaN,6,6,NaN,12,12
653,4,8,NaN,4,NaN,NaN,8,NaN
654,6,11,NaN,6,6,NaN,11,11
655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
659,5,9,NaN,5,NaN,NaN,9,NaN
660,7,17,NaN,7,7,NaN,17,17
662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
663,7,16,NaN,7,7,NaN,16,16
664,1,5,1,NaN,NaN,NaN,5,5
665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
666,1,1,1,NaN,NaN,1,NaN,NaN
667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
668,7,16,NaN,7,7,NaN,16,16
669,2,14,2,NaN,NaN,14,NaN,NaN
670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
671,7,17,NaN,7,7,NaN,17,17
672,2,4,2,NaN,NaN,4,NaN,NaN
673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
674,3,6,NaN,3,3,NaN,6,6
675,1,1,1,NaN,NaN,1,NaN,NaN
676,6,12,NaN,6,6,NaN,12,12
677,5,10,NaN,5,NaN,NaN,10,NaN
679,7,17,NaN,7,7,NaN,17,17
680,3,6,NaN,3,3,NaN,6,6
681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
683,2,3,2,NaN,NaN,3,NaN,NaN
685,6,12,NaN,6,6,NaN,12,12
686,7,14,NaN,7,7,14,NaN,NaN
687,7,16,NaN,7,7,NaN,16,16
688,3,5,NaN,3,3,NaN,5,5
689,4,7,NaN,4,NaN,NaN,7,NaN
690,2,3,2,NaN,NaN,3,NaN,NaN
691,5,10,NaN,5,NaN,NaN,10,NaN
692,5,10,NaN,5,NaN,NaN,10,NaN
693,1,2,1,NaN,NaN,2,NaN,NaN
695,5,9,NaN,5,NaN,NaN,9,NaN
696,1,1,1,NaN,NaN,1,NaN,NaN
697,4,14,NaN,4,NaN,14,NaN,NaN
698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700,7,16,NaN,7,7,NaN,16,16
702,6,8,NaN,6,6,NaN,8,NaN
704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
705,1,5,1,NaN,NaN,NaN,5,5
706,3,11,NaN,3,3,NaN,11,11
707,2,3,2,NaN,NaN,3,NaN,NaN
708,3,5,NaN,3,3,NaN,5,5
710,6,13,NaN,6,6,NaN,13,13
711,6,8,NaN,6,6,NaN,8,NaN
713,4,8,NaN,4,NaN,NaN,8,NaN
714,2,3,2,NaN,NaN,3,NaN,NaN
715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716,1,2,1,NaN,NaN,2,NaN,NaN
717,3,5,NaN,3,3,NaN,5,5
718,7,16,NaN,7,7,NaN,16,16
719,7,16,NaN,7,7,NaN,16,16
720,4,7,NaN,4,NaN,NaN,7,NaN
721,1,2,1,NaN,NaN,2,NaN,NaN
722,2,4,2,NaN,NaN,4,NaN,NaN
723,7,17,NaN,7,7,NaN,17,17
724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
727,1,1,1,NaN,NaN,1,NaN,NaN
728,1,2,1,NaN,NaN,2,NaN,NaN
730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
732,5,9,NaN,5,NaN,NaN,9,NaN
734,4,7,NaN,4,NaN,NaN,7,NaN
735,2,4,2,NaN,NaN,4,NaN,NaN
736,2,4,2,NaN,NaN,4,NaN,NaN
737,6,8,NaN,6,6,NaN,8,NaN
739,1,2,1,NaN,NaN,2,NaN,NaN
740,3,6,NaN,3,3,NaN,6,6
741,1,1,1,NaN,NaN,1,NaN,NaN
742,2,3,2,NaN,NaN,3,NaN,NaN
746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
748,7,14,NaN,7,7,14,NaN,NaN
750,3,6,NaN,3,3,NaN,6,6
751,5,9,NaN,5,NaN,NaN,9,NaN
752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
753,7,17,NaN,7,7,NaN,17,17
754,4,8,NaN,4,NaN,NaN,8,NaN
758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
761,3,6,NaN,3,3,NaN,6,6
762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
764,3,6,NaN,3,3,NaN,6,6
765,4,7,NaN,4,NaN,NaN,7,NaN
767,2,3,2,NaN,NaN,3,NaN,NaN
768,7,15,NaN,7,7,NaN,15,15
769,2,4,2,NaN,NaN,4,NaN,NaN
770,7,17,NaN,7,7,NaN,17,17
772,1,1,1,NaN,NaN,1,NaN,NaN
773,6,16,NaN,6,6,NaN,16,16
774,6,13,NaN,6,6,NaN,13,13
775,3,12,NaN,3,3,NaN,12,12
776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
777,1,1,1,NaN,NaN,1,NaN,NaN
778,7,17,NaN,7,7,NaN,17,17
780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
781,7,16,NaN,7,7,NaN,16,16
782,3,6,NaN,3,3,NaN,6,6
784,6,12,NaN,6,6,NaN,12,12
787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
790,1,1,1,NaN,NaN,1,NaN,NaN
791,3,6,NaN,3,3,NaN,6,6
796,4,7,NaN,4,NaN,NaN,7,NaN
798,2,3,2,NaN,NaN,3,NaN,NaN
799,2,3,2,NaN,NaN,3,NaN,NaN
802,7,16,NaN,7,7,NaN,16,16
804,5,17,NaN,5,NaN,NaN,17,17
805,7,16,NaN,7,7,NaN,16,16
807,6,12,NaN,6,6,NaN,12,12
808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
812,2,14,2,NaN,NaN,14,NaN,NaN
813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
815,3,12,NaN,3,3,NaN,12,12
818,7,17,NaN,7,7,NaN,17,17
819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
821,7,8,NaN,7,7,NaN,8,NaN
822,7,17,NaN,7,7,NaN,17,17
823,1,2,1,NaN,NaN,2,NaN,NaN
826,6,12,NaN,6,6,NaN,12,12
827,7,16,NaN,7,7,NaN,16,16
828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
830,4,7,NaN,4,NaN,NaN,7,NaN
831,4,7,NaN,4,NaN,NaN,7,NaN
834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
836,2,3,2,NaN,NaN,3,NaN,NaN
837,1,1,1,NaN,NaN,1,NaN,NaN
839,2,6,2,NaN,NaN,NaN,6,6
841,3,5,NaN,3,3,NaN,5,5
842,3,5,NaN,3,3,NaN,5,5
844,7,17,NaN,7,7,NaN,17,17
848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850,7,16,NaN,7,7,NaN,16,16
851,7,16,NaN,7,7,NaN,16,16
852,6,13,NaN,6,6,NaN,13,13
853,4,7,NaN,4,NaN,NaN,7,NaN
855,6,13,NaN,6,6,NaN,13,13
856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
860,7,17,NaN,7,7,NaN,17,17
861,2,4,2,NaN,NaN,4,NaN,NaN
863,1,1,1,NaN,NaN,1,NaN,NaN
864,1,2,1,NaN,NaN,2,NaN,NaN
865,6,12,NaN,6,6,NaN,12,12
867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
868,7,16,NaN,7,7,NaN,16,16
871,6,12,NaN,6,6,NaN,12,12
872,4,7,NaN,4,NaN,NaN,7,NaN
873,4,8,NaN,4,NaN,NaN,8,NaN
877,7,17,NaN,7,7,NaN,17,17
880,3,5,NaN,3,3,NaN,5,5
881,1,5,1,NaN,NaN,NaN,5,5
884,7,8,NaN,7,7,NaN,8,NaN
885,7,17,NaN,7,7,NaN,17,17
887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
889,7,16,NaN,7,7,NaN,16,16
890,2,4,2,NaN,NaN,4,NaN,NaN
896,6,8,NaN,6,6,NaN,8,NaN
897,1,1,1,NaN,NaN,1,NaN,NaN
898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
899,7,16,NaN,7,7,NaN,16,16
901,2,4,2,NaN,NaN,4,NaN,NaN
902,2,3,2,NaN,NaN,3,NaN,NaN
903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
905,3,6,NaN,3,3,NaN,6,6
907,1,2,1,NaN,NaN,2,NaN,NaN
910,7,16,NaN,7,7,NaN,16,16
913,1,1,1,NaN,NaN,1,NaN,NaN
914,3,5,NaN,3,3,NaN,5,5
915,1,2,1,NaN,NaN,2,NaN,NaN
916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
917,4,8,NaN,4,NaN,NaN,8,NaN
918,1,2,1,NaN,NaN,2,NaN,NaN
919,6,13,NaN,6,6,NaN,13,13
920,3,12,NaN,3,3,NaN,12,12
921,7,17,NaN,7,7,NaN,17,17
922,1,2,1,NaN,NaN,2,NaN,NaN
923,7,16,NaN,7,7,NaN,16,16
924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
925,5,9,NaN,5,NaN,NaN,9,NaN
926,2,6,2,NaN,NaN,NaN,6,6
927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
928,1,1,1,NaN,NaN,1,NaN,NaN
929,2,14,2,NaN,NaN,14,NaN,NaN
930,5,9,NaN,5,NaN,NaN,9,NaN
931,2,3,2,NaN,NaN,3,NaN,NaN
932,4,7,NaN,4,NaN,NaN,7,NaN
933,2,3,2,NaN,NaN,3,NaN,NaN
934,1,1,1,NaN,NaN,1,NaN,NaN
935,7,16,NaN,7,7,NaN,16,16
937,2,4,2,NaN,NaN,4,NaN,NaN
938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
939,6,12,NaN,6,6,NaN,12,12
940,1,2,1,NaN,NaN,2,NaN,NaN
941,6,13,NaN,6,6,NaN,13,13
942,1,2,1,NaN,NaN,2,NaN,NaN
943,2,4,2,NaN,NaN,4,NaN,NaN
945,4,8,NaN,4,NaN,NaN,8,NaN
946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
947,6,13,NaN,6,6,NaN,13,13
948,5,9,NaN,5,NaN,NaN,9,NaN
949,7,17,NaN,7,7,NaN,17,17
950,7,17,NaN,7,7,NaN,17,17
